"date","daytype","rides"
"01/29/2002","W","5,209"
"01/30/2002","W","5,298"
"01/31/2002","W","5,593"
"02/01/2002","W","5,167"
"02/02/2002","A","3,225"
"02/03/2002","U","2,518"
"02/04/2002","W","4,747"
"02/05/2002","W","5,073"
"02/06/2002","W","5,263"
"02/07/2002","W","5,235"
"02/08/2002","W","5,423"
"02/09/2002","A","3,623"
"02/10/2002","U","2,222"
"02/11/2002","W","5,021"
"02/12/2002","W","4,964"
"02/13/2002","W","5,532"
"02/14/2002","W","5,364"
"02/15/2002","W","5,444"
"02/16/2002","A","3,931"
"02/17/2002","U","2,992"
"02/18/2002","W","4,078"
"02/19/2002","W","5,138"
"02/20/2002","W","5,255"
"02/21/2002","W","6,059"
"02/22/2002","W","5,894"
"02/23/2002","A","3,773"
"02/24/2002","U","2,850"
"02/25/2002","W","4,990"
"02/26/2002","W","5,157"
"02/27/2002","W","5,243"
"02/28/2002","W","5,309"
"03/01/2002","W","5,677"
"03/02/2002","A","3,545"
"03/03/2002","U","2,268"
"03/04/2002","W","4,387"
"03/05/2002","W","5,148"
"03/06/2002","W","5,350"
"03/07/2002","W","5,551"
"03/08/2002","W","5,597"
"03/09/2002","A","3,399"
"03/10/2002","U","2,261"
"03/11/2002","W","5,232"
"03/12/2002","W","5,442"
"03/13/2002","W","5,629"
"03/14/2002","W","5,547"
"03/15/2002","W","5,725"
"03/16/2002","A","5,823"
"03/17/2002","U","3,367"
"03/18/2002","W","5,390"
"03/19/2002","W","5,283"
"03/20/2002","W","5,272"
"03/21/2002","W","5,329"
"03/22/2002","W","5,418"
"03/23/2002","A","3,942"
"03/24/2002","U","2,723"
"03/25/2002","W","4,731"
"03/26/2002","W","5,065"
"03/27/2002","W","5,341"
"03/28/2002","W","5,279"
"03/29/2002","W","4,281"
"03/30/2002","A","3,243"
"03/31/2002","U","1,658"
"04/01/2002","W","4,934"
"04/02/2002","W","5,230"
"04/03/2002","W","5,353"
"04/04/2002","W","5,438"
"04/05/2002","W","12,320"
"04/06/2002","A","10,241"
"04/07/2002","U","4,758"
"04/08/2002","W","5,084"
"04/09/2002","W","7,129"
"04/10/2002","W","8,527"
"04/11/2002","W","10,057"
"04/12/2002","W","5,515"
"04/13/2002","A","4,471"
"04/14/2002","U","3,131"
"04/15/2002","W","5,095"
"04/16/2002","W","5,302"
"04/17/2002","W","5,478"
"04/18/2002","W","5,414"
"04/19/2002","W","11,431"
"04/20/2002","A","10,238"
"04/21/2002","U","5,820"
"04/22/2002","W","5,139"
"04/23/2002","W","9,453"
"04/24/2002","W","8,567"
"04/25/2002","W","10,196"
"04/26/2002","W","10,353"
"04/27/2002","A","7,539"
"04/28/2002","U","7,944"
"04/29/2002","W","5,266"
"04/30/2002","W","5,197"
"05/01/2002","W","5,516"
"05/02/2002","W","5,296"
"05/03/2002","W","5,689"
"05/04/2002","A","3,738"
"05/05/2002","U","2,688"
"05/06/2002","W","8,299"
"05/07/2002","W","9,327"
"05/08/2002","W","8,377"
"05/09/2002","W","8,336"
"05/10/2002","W","10,305"
"05/11/2002","A","5,091"
"05/12/2002","U","5,826"
"05/13/2002","W","4,992"
"05/14/2002","W","5,272"
"05/15/2002","W","5,406"
"05/16/2002","W","5,277"
"05/17/2002","W","5,579"
"05/18/2002","A","3,778"
"05/19/2002","U","2,748"
"05/20/2002","W","5,115"
"05/21/2002","W","11,113"
"05/22/2002","W","11,818"
"05/23/2002","W","11,173"
"05/24/2002","W","5,598"
"05/25/2002","A","3,442"
"05/26/2002","U","3,304"
"05/27/2002","U","2,363"
"05/28/2002","W","5,256"
"05/29/2002","W","5,452"
"05/30/2002","W","5,634"
"05/31/2002","W","10,704"
"06/01/2002","A","11,251"
"06/02/2002","U","9,382"
"06/03/2002","W","5,324"
"06/04/2002","W","5,113"
"06/05/2002","W","5,478"
"06/06/2002","W","5,566"
